0	0.156286
1	0.314676
2	0.242944
3	0.287716
4	0.209103
5	0.311754
6	0.272110
7	0.308189
8	0.280278
9	0.210523
10	0.243326
11	0.307339
12	0.260737
13	0.234384
14	0.295782
15	0.223081
16	0.218746
17	0.216654
18	0.338784
19	0.316379
20	0.294634
21	0.265541
22	0.245314
23	0.322085
24	0.228008
25	0.276145
26	0.300955
27	0.251172
28	0.269148
29	0.340432
30	0.295750
31	0.203231
32	0.246179
33	0.295099
34	0.228776
35	0.235881
36	0.287788
37	0.252520
38	0.208344
39	0.193261
40	0.337503
41	0.318231
42	0.325425
43	0.310528
44	0.318778
45	0.265300
46	0.323920
47	0.344505
48	0.329709
49	0.291359
50	0.323646
51	0.233331
52	0.232990
53	0.264055
54	0.240910
55	0.295311
56	0.228696
57	0.267637
58	0.254483
59	0.166126
60	0.317844
61	0.264893
62	0.262190
63	0.330380
64	0.297571
65	0.271457
66	0.254023
67	0.266675
68	0.248432
69	0.313310
70	0.224417
71	0.270371
72	0.199006
73	0.274692
74	0.152382
75	0.236661
76	0.270875
77	0.207915
78	0.274138
79	0.268741
80	0.260055
81	0.229947
82	0.284146
83	0.246526
84	0.277663
85	0.175280
86	0.308027
87	0.231775
88	0.252905
89	0.266913
90	0.253508
91	0.239170
92	0.235834
93	0.269855
94	0.254119
95	0.252131
